
Train set: Average loss: 0.0043, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0039, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0019, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0028, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0037, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0032, Accuracy: 413/425 (97%)


 The epoch is 90, average recall: 0.8103, average precision: 0.7231,average F1: 0.7642, average accuracy: 0.7542, average AUC: 0.8198
Train set: Average loss: 0.0028, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0019, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0018, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0029, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


 The epoch is 100, average recall: 0.7586, average precision: 0.7458,average F1: 0.7521, average accuracy: 0.7542, average AUC: 0.8161
Train set: Average loss: 0.0011, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0034, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0020, Accuracy: 419/425 (99%)


 The epoch is 110, average recall: 0.7414, average precision: 0.7288,average F1: 0.7350, average accuracy: 0.7373, average AUC: 0.8221
Train set: Average loss: 0.0033, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0020, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0014, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0038, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0030, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0017, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)


 The epoch is 120, average recall: 0.8103, average precision: 0.7121,average F1: 0.7581, average accuracy: 0.7458, average AUC: 0.8190
Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0022, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0014, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 419/425 (99%)


 The epoch is 130, average recall: 0.7414, average precision: 0.7414,average F1: 0.7414, average accuracy: 0.7458, average AUC: 0.8250
Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0042, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0029, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0023, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0018, Accuracy: 420/425 (99%)


 The epoch is 140, average recall: 0.7586, average precision: 0.7458,average F1: 0.7521, average accuracy: 0.7542, average AUC: 0.8273
Train set: Average loss: 0.0016, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0022, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)

